SC20606 2ndOpt
9.9999332400000000e-01     -3.6156700000000000e-04          
9.9990272519999900e-01     -3.2627520000000000e-04          
9.9979251620000000e-01     -2.8340260000000000e-04          
9.9965840580000000e-01     -2.3135550000000000e-04          
9.9949532750000000e-01     -1.6822210000000000e-04          
9.9929708240000000e-01     -9.1716600000000000e-05          
9.9905622010000000e-01     8.8222100000000000e-07          
9.9876368050000000e-01     1.1279720000000000e-04          
9.9840879440000000e-01     2.4782060000000000e-04          
9.9797862770000000e-01     4.1037909999999900e-04          
9.9745768310000000e-01     6.0558870000000000e-04          
9.9682790040000000e-01     8.3928900000000000e-04          
9.9606758360000000e-01     1.1180410000000000e-03          
9.9515169860000000e-01     1.4490690000000000e-03          
9.9405092000000000e-01     1.8401190000000000e-03          
9.9273169040000000e-01     2.2992101000000000e-03          
9.9115628000000000e-01     2.8342360000000000e-03          
9.8928248880000000e-01     3.4524009000000000e-03          
9.8706460000000000e-01     4.1594771000000000e-03          
9.8445379730000000e-01     4.9588932000000000e-03          
9.8140019180000000e-01     5.8507272000000000e-03          
9.7785407300000000e-01     6.8307510000000000e-03          
9.7452622649999900e-01     7.6986342000000000e-03          
9.7117978330000000e-01     8.5231969000000000e-03          
9.6781408790000000e-01     9.3060573999999900e-03          
9.6442717310000000e-01     1.0049159600000000e-02          
9.6101558210000000e-01     1.0754809700000000e-02          
9.5757430790000000e-01     1.1425679500000000e-02          
9.5409679410000000e-01     1.2064769900000000e-02          
9.5057547090000000e-01     1.2675370100000000e-02          
9.4700157639999900e-01     1.3260990400000000e-02          
9.4336581230000000e-01     1.3825180000000000e-02          
9.3965870140000000e-01     1.4371380200000000e-02          
9.3587118390000000e-01     1.4902710000000000e-02          
9.3199580910000000e-01     1.5421790100000000e-02          
9.2802631860000000e-01     1.5930580000000000e-02          
9.2395818230000000e-01     1.6430370500000000e-02          
9.1978830100000000e-01     1.6922030600000000e-02          
9.1551339630000000e-01     1.7406409600000000e-02          
9.1112971310000000e-01     1.7884479800000000e-02          
9.0663301940000000e-01     1.8357319800000000e-02          
9.0201878550000000e-01     1.8826020900000000e-02          
8.9728218320000000e-01     1.9291710100000000e-02          
8.9241778850000000e-01     1.9755400700000000e-02          
8.8741981980000000e-01     2.0218020300000000e-02          
8.8228160140000000e-01     2.0680399600000000e-02          
8.7699520590000000e-01     2.1143339600000000e-02          
8.7155079840000000e-01     2.1607829300000000e-02          
8.6593472960000000e-01     2.2075299200000000e-02          
8.6012947560000000e-01     2.2547820600000000e-02          
8.5411340000000000e-01     2.3028129700000000e-02          
8.4786009789999900e-01     2.3519709700000000e-02          
8.4133958820000000e-01     2.4026669600000000e-02          
8.3451950550000000e-01     2.4553580200000000e-02          
8.2736700770000000e-01     2.5105150400000000e-02          
8.1985169650000000e-01     2.5685749900000000e-02          
8.1194680930000000e-01     2.6299089199999900e-02          
8.0362981560000000e-01     2.6947969600000000e-02          
7.9488241670000000e-01     2.7634179200000000e-02          
7.8568971160000000e-01     2.8358459500000000e-02          
7.7603811030000000e-01     2.9120739500000000e-02          
7.6591527460000000e-01     2.9919959600000000e-02          
7.5530987980000000e-01     3.0753810000000000e-02          
7.4421221020000000e-01     3.1618401400000000e-02          
7.3261410000000000e-01     3.2507829400000000e-02          
7.2050929070000000e-01     3.3413920600000000e-02          
7.0789420600000000e-01     3.4325901400000000e-02          
6.9476729630000000e-01     3.5230230500000000e-02          
6.8112999200000000e-01     3.6110390000000000e-02          
6.6698700190000000e-01     3.6946788400000000e-02          
6.5234589580000000e-01     3.7716791000000000e-02          
6.3721817730000000e-01     3.8399461700000000e-02          
6.2161892650000000e-01     3.8987688700000000e-02          
6.0556691880000000e-01     3.9478771400000000e-02          
5.8908522129999900e-01     3.9871480300000000e-02          
5.7220071550000000e-01     4.0165811800000000e-02          
5.5494451519999900e-01     4.0362730600000000e-02          
5.3735142949999900e-01     4.0463939300000000e-02          
5.1946038010000000e-01     4.0471930100000000e-02          
5.0131392480000000e-01     4.0390279099999900e-02          
4.8295760150000000e-01     4.0223978500000000e-02          
4.6444040540000000e-01     3.9979860200000000e-02          
4.4581350680000000e-01     3.9666909700000000e-02          
4.2713031170000000e-01     3.9296329000000000e-02          
4.0844580530000000e-01     3.8881070899999900e-02          
3.8981580730000000e-01     3.8435030700000000e-02          
3.7129649520000000e-01     3.7971939900000000e-02          
3.5294389720000000e-01     3.7503790100000000e-02          
3.3481270070000000e-01     3.7038970700000000e-02          
3.1695649030000000e-01     3.6573089700000000e-02          
2.9942628740000000e-01     3.6094360100000000e-02          
2.8227040170000000e-01     3.5591948800000000e-02          
2.6553410290000000e-01     3.5057019400000000e-02          
2.4925859270000000e-01     3.4483328499999900e-02          
2.3348119850000000e-01     3.3867318200000000e-02          
2.1823459860000000e-01     3.3207941800000000e-02          
2.0354700090000000e-01     3.2506339300000000e-02          
1.8944180010000000e-01     3.1765341800000000e-02          
1.7593750360000000e-01     3.0988870200000000e-02          
1.6304770110000000e-01     3.0181439600000000e-02          
1.5078149740000000e-01     2.9347620900000000e-02          
1.3914319870000000e-01     2.8491759700000000e-02          
1.2813289460000000e-01     2.7617890400000000e-02          
1.1774670330000000e-01     2.6729689900000000e-02          
1.0797700290000000e-01     2.5830760600000000e-02          
9.8812706800000000e-02     2.4924930200000000e-02          
9.0239800500000000e-02     2.4016430600000000e-02          
7.8169122298186900e-02     2.2398048562504300e-02          
7.0892079905090000e-02     2.0597529487977800e-02          
6.4144987106793100e-02     1.8872669876773800e-02          
5.7905411034785700e-02     1.7224320289889100e-02          
