1,0.000126
0.95027,0.00471
0.90052,0.009306
0.85074,0.013806
0.80076,0.018222
0.75063,0.022212
0.70054,0.02586
0.65042,0.029112
0.60028,0.031938
0.55012,0.034284
0.49994,0.036084
0.44975,0.037248
0.39955,0.037644
0.34935,0.037152
0.29917,0.035904
0.249,0.033936
0.19885,0.0312
0.14874,0.027552
0.09868,0.022752
0.07369,0.019728
0.04874,0.01611
0.02387,0.01137
0.01153,0.008052
0.00665,0.006264
0.00424,0.005136
0,0
0.00576,-0.004464
0.00835,-0.005316
0.01347,-0.0066
0.02613,-0.008838
0.05126,-0.011778
0.07631,-0.013896
0.10132,-0.0156
0.15126,-0.01818
0.20115,-0.02004
0.251,-0.021324
0.30083,-0.022128
0.35065,-0.022464
0.40045,-0.022296
0.45025,-0.02148
0.50006,-0.020124
0.54988,-0.018372
0.59972,-0.016314
0.64958,-0.014052
0.69946,-0.011664
0.74937,-0.009252
0.79924,-0.007002
0.84926,-0.005154
0.89948,-0.003426
0.94974,-0.00177
1,-0.000126
